time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-08-03T18:00:00Z,34,92,1017.25,36.3,37.3,35.3
2025-08-03T08:30:00Z,71,67,1017.08,21.7,23.1,20.3
2025-07-21T02:30:00Z,58,74,1013.88,12.0,12.9,11.0
2025-07-21T10:00:00Z,61,73,1014.36,18.9,20.2,17.7
2025-07-21T22:30:00Z,41,86,1014.21,10.2,10.7,9.7
2025-07-21T00:00:00Z,48,81,1013.71,12.9,13.5,12.4
2025-07-21T12:30:00Z,65,72,1014.85,24.8,26.0,23.7
2025-07-18T22:30:00Z,40,86,1014.62,5.4,5.7,5.0
2025-07-18T02:00:00Z,55,76,1012.64,10.9,11.4,10.5
2025-07-20T17:00:00Z,52,78,1016.22,21.1,22.1,20.1
2025-07-20T03:00:00Z,57,73,1015.51,15.3,16.1,14.4
2025-07-20T05:30:00Z,57,73,1016.45,13.9,14.7,13.0
2025-07-20T06:30:00Z,57,73,1016.38,16.6,17.7,15.4
2025-06-16T01:30:00Z,53,76,1011.1,13.0,13.9,12.0
2025-07-24T14:30:00Z,62,73,1019.16,12.7,13.5,11.8
2025-07-04T22:30:00Z,41,85,1016.27,15.9,16.7,15.1
2025-06-17T01:00:00Z,49,78,1010.75,14.2,15.3,13.2
2025-06-12T16:30:00Z,60,72,1012.47,33.6,34.6,32.6
2025-06-12T01:30:00Z,54,74,1011.84,15.0,15.7,14.2
2025-07-16T19:30:00Z,29,93,1014.65,2.3,2.5,2.1
2025-07-16T22:00:00Z,36,87,1013.06,2.8,3.0,2.6
2025-07-16T09:30:00Z,57,72,1013.88,12.6,13.8,11.4
2025-07-16T11:30:00Z,59,71,1013.85,10.2,11.1,9.3
2025-07-16T15:00:00Z,53,75,1015.18,9.5,9.8,9.1
2025-07-16T10:30:00Z,58,72,1013.97,10.8,11.5,10.2
2025-07-19T23:00:00Z,44,84,1014.59,13.2,14.0,12.4
2025-06-06T23:00:00Z,42,80,1012.73,7.0,7.3,6.8
2025-06-06T06:00:00Z,60,68,1013.2,6.2,6.8,5.6
2025-06-06T06:30:00Z,60,68,1013.26,5.6,6.2,5.1
2025-06-06T20:00:00Z,36,85,1014.0,9.7,10.1,9.3
2025-06-06T08:30:00Z,59,69,1013.0,7.0,7.6,6.4
